"","PC1","PC2","Label"
"A_1",-1.27637638594636,-0.952821138928195,"A_1"
"A_2",-0.536068646477724,1.44733069373317,"A_2"
"A_3",0.509527536066975,1.8757588788118,"A_3"
"A_9",-1.52968038211076,-1.89854778918781,"A_9"
"A_13",0.594229979082757,1.77255703876357,"A_13"
"A_14",-0.395688607221108,-0.691795092781081,"A_14"
"A_17",-0.331345087573752,2.36613005887113,"A_17"
"A_25",1.08735580025539,2.3947460834544,"A_25"
"A_26",-0.951931791448126,2.20078199855073,"A_26"
"A_29",-1.28111599687019,1.54989264402563,"A_29"
"A_31",-1.60260349256709,3.58787477494175,"A_31"
"A_33",-0.258977715296788,2.6018938811275,"A_33"
"A_34",-0.284059249642372,1.73483777877171,"A_34"
"A_36",-2.87413556783482,-0.5819481848958,"A_36"
"A_37",0.515625017073067,2.66229498409952,"A_37"
"A_40",-0.795229079091709,2.20853346784138,"A_40"
"A_42",-1.24744172659534,2.23462603886534,"A_42"
"A_46",-0.259381114820957,0.262559022256858,"A_46"
"A_47",-1.67654160664292,3.3994489829548,"A_47"
"A_48",-0.600604150206371,2.8987998083,"A_48"
"A_49",-4.19376368221637,4.0542842732056,"A_49"
"A_50",-0.28751057537979,1.95294936526409,"A_50"
"A_51",-0.978500241667088,1.41681419855548,"A_51"
"A_53",-0.970202824907143,1.51466283504185,"A_53"
"A_63",-1.17854612249158,1.29176984534364,"A_63"
"A_65",-3.21904537484484,2.78134159982709,"A_65"
"A_66",1.37923059871729,0.499613285702703,"A_66"
"A_71",0.654270611433833,1.83028033968665,"A_71"
"A_73",0.925458183295821,-0.778884770373674,"A_73"
"A_77",-1.37928260708861,1.46926280925666,"A_77"
"A_78",-0.527693616950702,0.336551649975013,"A_78"
"A_81",-0.49323832798387,1.79770159877198,"A_81"
"A_83",-1.13869369083445,1.76427435591715,"A_83"
"A_90",-1.26567851722174,-0.444672349592091,"A_90"
"A_94",-0.922974558258068,3.18313422426676,"A_94"
"A_95",-1.21434318408291,1.94893530849774,"A_95"
"A_96",-2.08640317447053,2.04880555704645,"A_96"
"A_100",0.684390617402539,1.81845164848679,"A_100"
"A_101",-0.826184317600005,2.3296656331058,"A_101"
"A_103",-0.0576896867438783,1.7365951957973,"A_103"
"A_105",1.49447270825582,0.565587446786432,"A_105"
"A_107",-1.00768759066718,-0.562372826938053,"A_107"
"A_108",0.984863311873141,0.285393956148896,"A_108"
"A_111",0.852627692930465,0.589597189200158,"A_111"
"A_113",-0.473916338089321,0.804374000610496,"A_113"
"A_114",0.693859975116477,-0.140144536571729,"A_114"
"A_119",1.92391925633392,-0.183026512589542,"A_119"
"A_120",0.953666607043066,1.34447900594154,"A_120"
