name,TL,MP,SH,WSMB, 1/3, 2/3,BL,SL,Shoulder.Angle,MPTSH,BLTSL,TLTBL,TLTSL,SHTWSMB,SHT1/3,SHT2/3,WSMBT1/3,WSMBT2/3,1/3T2/3,PPK
A_1,87.244,23.999,32.663,17.428,13.758,12.125,68.12,18.665,71.683,0.734745737,3.649611572,1.280739871,4.674203054,1.874168006,2.374109609,2.69385567,1.266753889,1.437360825,1.134680412,
A_2,55.007,19.377,27.498,15.624,12.999,12.374,42.131,12.375,104.284,0.704669431,3.404525253,1.305618191,4.445010101,1.759984639,2.115393492,2.222240181,1.201938611,1.262647487,1.050509132,
A_3,42.025,14.685,28.226,13.923,12.786,10.771,32.933,9.135,68.467,0.520265004,3.605145047,1.276075669,4.600437876,2.027292968,2.207570781,2.620555195,1.088925387,1.292637638,1.187076409,
A_9,63.099,21.234,36.924,16.307,11.481,8.272,51.724,11.357,111.73,0.575073123,4.554371753,1.219917253,5.555956679,2.264303673,3.216096159,4.463733075,1.42034666,1.97134913,1.387935203,
A_13,59.255,17.9,27.529,15.061,15.69,15.309,46.169,12.347,81.903,0.650223401,3.739288896,1.283436938,4.799141492,1.827833477,1.754557043,1.798223267,0.959910771,0.983800379,1.024887321,
A_14,68.88,27.609,31.017,16.836,14.051,13.04,56.077,12.787,91.878,0.89012477,4.385469618,1.228311072,5.386720888,1.84230221,2.207458544,2.378604294,1.198206533,1.291104294,1.077530675,
A_17,60.363,21.514,27.713,14.679,15.186,14.553,42.774,17.232,62.906,0.776314365,2.48224234,1.411207743,3.50295961,1.887935145,1.824904517,1.904280904,0.966613987,1.008658009,1.043496186,
A_25,59.243,20.128,30.764,12.921,15.317,17.089,42.913,16.456,50.25,0.654271226,2.607741857,1.380537366,3.600085075,2.380930269,2.008487302,1.800222365,0.843572501,0.756100415,0.896307566,
A_26,49.83,23.748,26.418,14.448,13.705,11.61,35.342,13.717,91.704,0.898932546,2.576510899,1.409937185,3.632718524,1.828488372,1.927617658,2.275452196,1.054213791,1.244444444,1.18044789,
A_29,63.821,20.508,31.655,17.977,15.577,14.685,47.216,16.33,108.308,0.647859738,2.891365585,1.351681633,3.908205756,1.7608611,2.032162804,2.155600953,1.154073313,1.224174328,1.060742254,
A_31,43.421,19.113,27.847,16.472,15.32,13.164,28.985,14.811,102.785,0.686357597,1.956991425,1.498050716,2.931672406,1.690565809,1.817689295,2.115390459,1.075195822,1.251291401,1.163780006,
A_33,56.953,26.788,34.567,17.163,15.184,22.838,37.668,18.521,70.871,0.774958776,2.033799471,1.511973028,3.075049943,2.014041834,2.276541096,1.513573868,1.130334563,0.75151064,0.664856818,
A_34,48.184,20.627,29.626,13.876,12.375,11.503,36.003,12.756,93.87,0.69624654,2.8224365,1.338332917,3.777359674,2.135053329,2.394020202,2.575502043,1.121292929,1.20629401,1.075806311,
A_36,65.124,25.486,34.409,17.072,14.145,8.415,49.778,15.632,107.308,0.740678311,3.184365404,1.308288802,4.166069601,2.015522493,2.432591022,4.089007724,1.206928243,2.02875817,1.680926916,
A_37,53.934,25.426,31.966,14.442,14.442,19.997,36.78,17.307,55.444,0.795407621,2.125151673,1.46639478,3.116311319,2.213405346,2.213405346,1.598539781,1,0.722208331,0.722208331,
A_40,56.578,25.57,32.788,18.61,18.227,18.364,40.251,15.695,77.269,0.779858485,2.564574705,1.405629674,3.604842306,1.761848469,1.798869809,1.785449793,1.021012783,1.013395774,0.992539752,
A_42,59.384,25.604,26.795,16.307,14.938,15.927,42.224,16.916,121.61,0.955551409,2.496098368,1.406403941,3.510522582,1.643159379,1.79374749,1.682363282,1.091645468,1.023858856,0.937904188,
A_46,67.387,22.464,33.325,15.065,13.206,13.082,52.206,14.934,104.536,0.674088522,3.495781438,1.290790331,4.512320879,2.212080982,2.523474178,2.547393365,1.140769347,1.151582327,1.009478673,
A_47,41.364,21.34,30.729,15.852,14.267,12.928,26.606,14.634,115.875,0.694458004,1.818094848,1.554686913,2.826568266,1.938493565,2.153851546,2.376933787,1.111095535,1.226175743,1.103573639,
A_48,39.506,21.985,29.855,16.239,14.117,14.365,27.61,11.869,83.909,0.736392564,2.326227989,1.430858385,3.328502822,1.838475276,2.114826096,2.07831535,1.150315223,1.130455969,0.982735816,
A_49,48.427,25.835,34.641,25.732,21.187,18.443,27.395,19.605,114.34,0.745792558,1.397347615,1.767731338,2.47013517,1.346222602,1.635012036,1.8782736,1.214518337,1.395217698,1.148782736,
A_50,53.952,17.441,26.952,15.983,13.794,13.724,41.586,12.556,98.949,0.647113387,3.312042052,1.297359688,4.296909844,1.686291685,1.953892997,1.963858933,1.158692185,1.164602157,1.005100554,
A_51,60.297,25.032,33.418,15.292,16.032,12.331,42.917,17.388,60.694,0.749057394,2.468196457,1.404967728,3.46773637,2.18532566,2.084456088,2.710080285,0.953842315,1.24012651,1.300137864,
A_53,56.594,24.018,32.918,14.996,13.289,12.56,39.866,16.466,93.261,0.729631205,2.421110166,1.419605679,3.437021742,2.195118698,2.477086312,2.620859873,1.128452103,1.193949045,1.058041401,
A_63,55.277,20.127,30.126,13.594,12.307,9.362,40.391,15.136,98.957,0.668094005,2.668538584,1.368547449,3.65202167,2.216124761,2.447875193,3.217902158,1.104574632,1.452040162,1.314569536,
A_65,50.93,24.08,29.358,18.288,15.262,11.71,32.761,18.851,112.831,0.820219361,1.737891889,1.554592351,2.701713437,1.605314961,1.923601101,2.507087959,1.198270214,1.561742101,1.303330487,
A_66,76.916,22.092,30.657,11.965,14.2,15.779,60.612,16.567,80.502,0.720618456,3.658598419,1.268989639,4.642723486,2.562223151,2.158943662,1.94289879,0.842605634,0.75828633,0.899930287,
A_71,52.668,22.803,26.957,10.972,9.644,12.457,36.704,14.526,78.777,0.845902734,2.526779568,1.434938971,3.625774473,2.456890266,2.795209457,2.164004174,1.137702198,0.880789917,0.77418319,
A_73,72.936,22.12,32.241,12.998,12.901,11.688,59.982,13.284,78.207,0.686082938,4.51535682,1.215964789,5.490514905,2.480458532,2.499108596,2.758470226,1.007518797,1.112080767,1.103781656,
A_77,64.702,26.373,36.634,17.515,17.294,15.374,45.248,19.388,81.531,0.719905006,2.333814731,1.429941655,3.337218898,2.091578647,2.118306927,2.382854169,1.012778998,1.13926109,1.124886171,
A_78,66.043,26.659,36.046,13.7,11.854,12.487,47.27,18.64,89.47,0.739582755,2.535944206,1.397144066,3.543079399,2.631094891,3.0408301,2.886682149,1.155728024,1.097141027,0.94930728,
A_81,43.353,23.234,28.859,14.865,13.741,11.748,32.361,10.371,102.731,0.805086801,3.120335551,1.339668119,4.180214058,1.941405987,2.100211047,2.456503235,1.081798996,1.265321757,1.169645897,
A_83,52.051,21.157,28.338,16.667,15.265,12.436,39.745,12.695,114,0.746594679,3.130760142,1.309623852,4.100118157,1.700245995,1.856403538,2.27870698,1.091844088,1.340221936,1.227484722,
A_90,63.491,24.863,38.861,17.613,14.615,11.618,49.106,13.866,96.899,0.639793109,3.54146834,1.292937727,4.578898024,2.20638165,2.658980499,3.344895851,1.205131714,1.51600964,1.257961783,
A_94,46.619,23.119,35.739,19.119,18.495,19.379,31.116,14.746,84.449,0.646884356,2.110131561,1.498232421,3.161467517,1.869292327,1.932360097,1.844212808,1.033738848,0.986583415,0.954383611,
A_95,42.21,19.749,30.758,15.568,13.038,10.759,30.759,10.897,121.121,0.642076858,2.822703496,1.372281284,3.873543177,1.975719424,2.359104157,2.858815875,1.194048167,1.446974626,1.21182266,
A_96,48.128,25.875,32.506,15.649,13.375,10.881,31.634,16.517,95.45,0.796006891,1.915238845,1.521401024,2.91384634,2.077193431,2.43035514,2.987409245,1.170018692,1.438195019,1.229206874,
A_100,53.625,19.5,27.875,14.758,14.876,15.002,41.89,11.756,75.865,0.69955157,3.563286832,1.280138458,4.56150051,1.888806071,1.873823608,1.858085589,0.99206776,0.983735502,0.99160112,
A_101,52.247,26.517,34.89,19.513,19.009,19.498,36.873,14.518,82.947,0.760017197,2.539812646,1.416944648,3.598773936,1.788038743,1.835446368,1.789414299,1.026513757,1.00076931,0.974920505,
A_103,52.484,23.743,30.741,16.408,14.889,16.151,39.364,12.637,89.396,0.772356137,3.114979821,1.333299461,4.153200918,1.873537299,2.064678622,1.903349638,1.102021627,1.015912327,0.921862423,
A_105,81.772,21.78,29.003,12.784,13.802,18.613,64.427,17.489,69.137,0.750956798,3.683858425,1.269219427,4.675624678,2.268695244,2.101362121,1.558212002,0.926242574,0.686831784,0.741524741,
A_107,83.673,26.474,34.032,18.176,15.119,15.38,65.482,17.627,104.944,0.777914904,3.714869235,1.277801533,4.746865604,1.872359155,2.250942523,2.212743823,1.202195912,1.181794538,0.983029909,
A_108,61.161,29.636,34.201,12.223,14.57,13.348,46.694,13.951,63.549,0.866524371,3.347000215,1.309825674,4.383986811,2.798085576,2.347357584,2.562256518,0.83891558,0.915717711,1.091549296,
A_111,58.35,23.57,31.324,13.615,13.811,13.825,45.957,11.448,95.886,0.752458179,4.014412998,1.269665122,5.096960168,2.30069776,2.268047209,2.265750452,0.985808414,0.984810127,0.998987342,
A_113,76.149,32.592,38.672,17.179,17.691,21.547,53.842,20.921,84.174,0.842780306,2.573586349,1.414304818,3.639835572,2.251120554,2.185970267,1.794774215,0.97105873,0.797280364,0.821042372,
A_114,62.212,22.984,35.892,14.865,13.874,13.413,49.592,12.181,75.021,0.640365541,4.071258517,1.254476528,5.107298251,2.414530777,2.586997261,2.675911429,1.071428571,1.108253187,1.034369641,
A_119,63.732,19.619,30.521,14.375,14.001,15.125,54.126,10.141,61.111,0.642803316,5.337343457,1.177474781,6.284587319,2.1232,2.17991572,2.017917355,1.026712378,0.950413223,0.92568595,
A_120,69.136,24.01,32.097,16.069,14.151,22.691,51.256,17.045,46.091,0.748044989,3.007098856,1.348837209,4.056086829,1.997448503,2.268178927,1.414525583,1.135538125,0.708166233,0.623639328,
A_123,57.705,23.638,36.105,14.285,15.261,19.479,45.713,11.041,63.261,0.654701565,4.140295263,1.262332378,5.226428766,2.527476374,2.36583448,1.853534576,0.936046131,0.733353868,0.78345911,
A_126,46.643,20.853,27.254,14.214,12.969,20.154,32.096,14.846,59.826,0.765135393,2.161929139,1.453234048,3.141789034,1.917405375,2.101472743,1.352287387,1.095998149,0.705269425,0.643495088,
A_129,51.186,20.519,29.642,16.637,16,15.877,38.534,12.751,87.015,0.692227245,3.022037487,1.32833342,4.01427339,1.781691411,1.852625,1.866977389,1.0398125,1.047867985,1.007747055,
A_133,86.852,23.458,40.656,15.315,12.592,17.027,68.964,18.207,60.114,0.576987407,3.787773933,1.259381706,4.770253199,2.654652302,3.228716645,2.387737123,1.216248412,0.899453809,0.739531333,
A_138,67.127,25.696,37.091,17.112,15.072,12.912,51.341,15.57,82.139,0.692782616,3.297430957,1.307473559,4.311303789,2.167543245,2.460920913,2.872599133,1.135350318,1.32527881,1.167286245,
A_140,43.129,19.229,30.885,15.156,14.549,12.325,29.943,12.82,61.87,0.622599968,2.335647426,1.440370036,3.364196568,2.037806809,2.122826311,2.505882353,1.04172108,1.22969574,1.180446247,
A_141,63.816,25.451,31.014,16.334,13.798,13.423,54.691,9.524,107.018,0.820629393,5.742440151,1.166846465,6.700545989,1.898738827,2.24771706,2.310511808,1.183794753,1.216866572,1.027937123,
A_142,49.833,24.402,28.698,14.195,13.911,14.038,36.283,12.917,70.726,0.850303157,2.808933963,1.373453132,3.85793915,2.021697781,2.062971749,2.044308306,1.020415499,1.011183929,0.990953127,
A_143,56.086,26.924,35.683,20.787,18.05,17.209,41.41,14.104,88.436,0.754532971,2.936046512,1.354407148,3.976602382,1.716601722,1.976897507,2.073508048,1.151634349,1.207914463,1.048869777,
A_144,52.734,22.036,30,17.315,15.865,17.64,37.593,14.811,89.57,0.734533333,2.538181082,1.402761152,3.560461819,1.73260179,1.890954932,1.700680272,1.091396155,0.981575964,0.899376417,
A_146,83.117,31.119,40.747,20.309,18.022,21.997,64.358,19.14,55.926,0.763712666,3.362486938,1.291478915,4.342580982,2.006351864,2.260958828,1.852388962,1.126900455,0.923262263,0.81929354,
A_149,48.516,22.875,30.887,15.138,13.796,13.125,36.272,11.969,98.207,0.740602843,3.030495447,1.337560653,4.053471468,2.040362003,2.238837344,2.353295238,1.097274572,1.153371429,1.05112381,
A_150,70.147,28.226,36.838,14.685,14.811,21.959,54.173,16.075,66.769,0.766219664,3.370015552,1.294870138,4.363732504,2.508546136,2.487205455,1.677580946,0.991492809,0.6687463,0.674484266,
A_151,64.317,24.319,29.634,13.332,12.839,13.088,53.083,11.236,45.614,0.820645205,4.724368103,1.211630842,5.724190103,2.222772277,2.308123686,2.264211491,1.038398629,1.018643032,0.980974939,
A_154,81.283,28.267,42.508,19.13,15.802,13.334,66.647,14.7,93.082,0.66498071,4.533809524,1.219604783,5.529455782,2.222059592,2.690039236,3.187940603,1.210606252,1.434678266,1.185090745,
A_163,61.058,22.792,28.772,16.219,14.434,12.926,47.469,13.814,100.81,0.792159044,3.436296511,1.28627104,4.420008687,1.773968802,1.993349037,2.225901284,1.123666343,1.254757852,1.116664088,
A_164,69.616,19.747,30.344,14.368,9.488,6.54,61.156,8.209,92.49,0.650771157,7.449872092,1.13833475,8.480448288,2.111915367,3.198145025,4.639755352,1.514333895,2.196941896,1.450764526,
A_166,81.836,25.892,34.879,17.197,14.354,13.078,68.7,13.6,90.853,0.742337796,5.051470588,1.191208151,6.017352941,2.028202593,2.429915006,2.666998012,1.198063258,1.314956415,1.097568436,
A_167,63.503,29.257,27.501,13.876,12.75,12.501,53.518,9.878,75.171,1.063852224,5.41789836,1.186572742,6.428730512,1.981911214,2.156941176,2.199904008,1.088313725,1.109991201,1.019918407,
A_169,66.693,30.044,28.25,12.885,12.128,11.753,56.257,9.75,95.487,1.063504425,5.769948718,1.185505804,6.840307692,2.192471867,2.32932058,2.403641623,1.062417546,1.096315834,1.031906747,
A_170,65.633,30.264,36.203,16.738,15.197,19.622,48.102,17.399,71.954,0.835952822,2.764641646,1.3644547,3.772228289,2.162922691,2.382246496,1.845020895,1.101401592,0.853022118,0.77448782,
A_171,80.712,27.866,31.24,17.12,15.743,17.499,67.337,13.368,83.831,0.891997439,5.037178336,1.198627797,6.037701975,1.824766355,1.984374007,1.785244871,1.087467446,0.97834162,0.899651409,
A_173,80.74,22.783,31.383,13.049,12.923,14.193,68.136,12.923,71.969,0.725966287,5.272459955,1.184982975,6.247775284,2.405011878,2.428460884,2.211160431,1.009750058,0.919396886,0.91051927,
A_174,81.255,31.257,36.51,16.628,16.256,14.251,69.245,11.885,61.28,0.856121611,5.826251578,1.173442126,6.836769037,2.19569401,2.245939961,2.561925479,1.022883858,1.166795313,1.140691881,
A_175,93.636,28.998,40.145,20.267,18.782,18.694,78.633,14.217,61.303,0.722331548,5.530913695,1.190797757,6.58619962,1.980806237,2.137418805,2.147480475,1.079065062,1.084144645,1.004707393,
A_178,87.05,23.21,32.716,13.334,12.346,10.758,74.693,12.882,58.607,0.709438807,5.798245614,1.16543719,6.757491073,2.453577321,2.649927102,3.041085704,1.080025919,1.239449712,1.14761108,
A_186,60.758,22.999,31.123,16.499,17.878,17.885,46.271,15.007,82.04,0.738971179,3.083294463,1.313090273,4.048643966,1.886356749,1.740854682,1.74017333,0.922866092,0.922504892,0.999608611,
A_188,69.816,20.256,26.046,16.82,15.541,10.313,56.028,13.86,113.196,0.777700991,4.042424242,1.24609124,5.037229437,1.548513674,1.675953928,2.525550276,1.082298436,1.630951227,1.506932997,
A_189,64.591,28.219,33.178,11.906,10.506,10.143,53.534,11.035,67.286,0.850533486,4.851291346,1.206541637,5.853285002,2.786662187,3.15800495,3.271024352,1.133257186,1.173814453,1.035788228,
A_194,67.247,24.498,32.623,15.999,12.875,12.751,53.25,14.133,101.897,0.750942587,3.767777542,1.26285446,4.758154673,2.039064942,2.533825243,2.558466003,1.242640777,1.25472512,1.009724727,
A_195,60.231,29.745,37.391,18.371,15.746,11.374,48.248,11.503,71.345,0.795512289,4.194384074,1.248362626,5.236112319,2.035327418,2.374634828,3.287409882,1.166709005,1.61517496,1.38438544,
A_196,74.131,23.931,32.589,14.543,14.286,19.086,60.889,13.006,56.895,0.734327534,4.681608488,1.217477705,5.69975396,2.240871897,2.281184376,1.707481924,1.01798964,0.761972126,0.748506759,
A_198,51.292,23.329,29.736,10.785,11.407,14.263,40.437,11.847,60.295,0.784537261,3.413269182,1.268442268,4.329534903,2.757162726,2.606820373,2.084834887,0.945472079,0.756152282,0.799761621,
A_205,69.196,23.255,31.4,11.886,11.392,15.088,58.905,10.762,63.768,0.740605096,5.473425014,1.174705034,6.429659915,2.641763419,2.756320225,2.081124072,1.043363764,0.787778367,0.755037116,
