name,TL,MP,SH,WSMB, 1/3, 2/3,BL,SL,Shoulder.Angle,MPTSH,BLTSL,TLTBL,TLTSL,SHTWSMB,SHT1/3,SHT2/3,WSMBT1/3,WSMBT2/3,1/3T2/3,PPK
1,86.086,16.853,32.007,12.595,13.137,20.285,72.88,13.426,44.875,0.526541069,5.428496946,1.181153355,6.411887383,2.541246526,2.436401005,1.577865418,0.958742483,0.620902144,0.647621395,Motley
2,61.945,31.39,48.917,16.676,18.891,26.68,47.78,14.455,55.871,0.641699205,3.305361467,1.29649009,4.285368385,2.933377309,2.589434122,1.833470765,0.882748399,0.625037481,0.708058471,Motley
3,49.974,24.184,30.176,14.601,12.392,23.589,36.43,13.995,51.096,0.801431601,2.60278671,1.371932136,3.570846731,2.06670776,2.435119432,1.279240324,1.178260168,0.618974946,0.525329603,Motley
4,93.933,20.987,34.781,15.42,12.815,21.786,79.54,14.411,53.495,0.603404157,5.519186732,1.180997523,6.518145861,2.255577173,2.714085057,1.596483981,1.203277409,0.707793996,0.588221794,Motley
5,112.313,21.586,28.377,12.39,12.39,17.604,94.33,16.787,66.898,0.760686471,5.618931316,1.190702359,6.690474772,2.29031477,2.29031477,1.61196319,1,0.703817314,0.703817314,Motley
6,79.23,27.454,39.318,18.713,16.854,24.951,59.91,18.755,65.794,0.698255252,3.194454812,1.322439578,4.224473474,2.101106183,2.332858669,1.575808585,1.110300225,0.74998998,0.675483949,Motley
7,77.038,25.577,43.042,13.737,14.347,22.777,59.57,17.18,58.458,0.594233539,3.467927823,1.293039494,4.484167637,3.133289656,3.000069701,1.889713307,0.957482401,0.603108399,0.629889801,Motley
8,70.521,23.082,38.988,14.347,10.934,20.283,52.41,18.133,44.436,0.592028316,2.890475928,1.345486807,3.889097226,2.717501917,3.565758185,1.922200858,1.312145601,0.707341123,0.539072129,Motley
9,120.392,27.45,35.565,14.994,13.322,18.299,105.64,13.309,39.826,0.771826234,7.937110226,1.139698017,9.045908784,2.37194878,2.669644198,1.943548828,1.125506681,0.819389038,0.728017924,Motley
10,51.929,22.692,33.086,14.615,14.615,24.618,37.70,15,59.776,0.685849,2.513333333,1.377427056,3.461933333,2.263838522,2.263838522,1.343975953,1,0.593671297,0.593671297,Motley
11,95.772,21.542,36.973,14.252,12.745,22.705,78.08,16.923,66.764,0.582641387,4.613898245,1.226572406,5.659280269,2.594232388,2.900980777,1.62840784,1.118242448,0.627703149,0.561330104,Motley
12,114.632,23.09,30.387,12.698,12.692,18.881,98.10,16.556,68.962,0.759864416,5.925102682,1.168569565,6.923894661,2.393054024,2.394185314,1.609395689,1.000472739,0.672527938,0.672210158,Motley
13,59.573,29.091,38.679,20.046,17.297,30.963,45.93,13.213,69.893,0.75211355,3.476046318,1.297067212,4.508665708,1.929512122,2.236168122,1.249200659,1.158929294,0.647417886,0.558634499,Motley
14,79.096,21.368,39.545,20.914,21.818,27.277,62.73,15,44.341,0.540346441,4.1818,1.260956207,5.273066667,1.890838673,1.812494271,1.449756205,0.958566321,0.766726546,0.799868021,Motley
15,83.697,31.87,42.429,18.205,18.659,22.347,66.86,15.455,60.611,0.751137194,4.325913944,1.25188088,5.415528955,2.330623455,2.273916073,1.898644113,0.975668578,0.814650736,0.834966662,Motley
16,55.62,24.365,34.371,15.63,14.733,11.869,45.32,10.937,86.702,0.708882488,4.143457987,1.227353973,5.085489622,2.199040307,2.332926084,2.895863173,1.06088373,1.316875895,1.241300868,Delhi
17,57.167,17.815,31.859,15.62,14.993,13.747,46.23,10.624,83.24,0.559182649,4.35128012,1.236631479,5.38092997,2.039628681,2.124924965,2.317523823,1.041819516,1.136247909,1.090637957,Delhi
18,67.468,19.993,29.367,14.382,11.886,12.186,54.04,14.684,97.125,0.680798175,3.680196132,1.248482605,4.594660855,2.041927409,2.470721858,2.409896603,1.209994952,1.180206795,0.975381585,Delhi
19,81.836,26.869,36.557,17.503,15.318,17.494,69.67,15.006,90.681,0.734989195,4.642476343,1.174707529,5.453551913,2.088613381,2.386538713,2.089687893,1.142642643,1.000514462,0.875614496,Delhi
20,72.858,32.498,52.879,20.051,16.878,20.653,56.92,16.867,67.374,0.614572893,3.374459003,1.280074494,4.319558902,2.637225076,3.13301339,2.560354428,1.187996208,0.970851692,0.817217838,Delhi
21,68.039,21.276,26.422,11.092,14.142,14.087,58.18,11.869,101.101,0.805238059,4.901929396,1.169436758,5.732496419,2.382077173,1.868335455,1.875630013,0.784330363,0.787392632,1.003904309,Delhi
22,50.609,19.145,38.29,19.526,17.978,18.213,40.35,11.245,102.641,0.5,3.588439306,1.254188144,4.500578035,1.96097511,2.129825342,2.102344479,1.08610524,1.072091363,0.987097128,Delhi
23,74.693,25.62,36.742,21.115,16.742,18.194,63.47,11.873,50.405,0.697294649,5.345658216,1.176842238,6.290996378,1.740089983,2.194600406,2.019456964,1.261199379,1.160547433,0.92019347,Delhi
24,85.001,25.003,30,14.191,14.637,14.173,74.17,12.5,96.843,0.833433333,5.93368,1.146013941,6.80008,2.114015926,2.049600328,2.116700769,0.969529275,1.00127002,1.032738305,Delhi
25,61.059,22.918,33.606,13.764,13.548,13.333,50.43,10.627,77.638,0.681961554,4.745177378,1.210839431,5.745647878,2.441586748,2.480513729,2.520513013,1.015943313,1.032325808,1.016125403,Delhi
26,51.391,24.306,30.178,15.278,13.751,18.333,37.64,13.75,80.17,0.805421168,2.737454545,1.365329437,3.737527273,1.975258542,2.194604029,1.646102656,1.111046469,0.833360607,0.750068183,Epps
27,53.754,24.375,30.977,12.224,11.579,12.251,43.18,12.504,84.472,0.786874132,3.453294946,1.24488189,4.298944338,2.53411322,2.675274203,2.528528283,1.055704292,0.997796098,0.945147335,Epps
28,67.083,19.177,23.754,13.132,12.923,13.752,55.03,12.724,114.362,0.807316662,4.324504873,1.219136756,5.272162842,1.808863844,1.838118084,1.727312391,1.016172715,0.954915649,0.939717859,Epps
29,66.7,16.756,28.543,17.15,13.827,20.651,50.56,16.655,83.66,0.587044109,3.035845092,1.319172501,4.004803362,1.664314869,2.064294496,1.38216067,1.240326897,0.830468258,0.669555954,Epps
30,94.184,22.376,24.555,14.814,13.924,21.272,76.11,17.288,90,0.911260436,4.402244331,1.237537119,5.447940768,1.657553665,1.763501867,1.154334336,1.063918414,0.696408424,0.654569387,Epps
31,94.184,25.703,29.735,14.277,12.376,16.648,83.24,12.376,96.116,0.86440222,6.725840336,1.131488845,7.610213316,2.082720459,2.402634131,1.786100432,1.153603749,0.85758049,0.7433926,Epps
32,59.94,21.41,26.23,14.776,14.27,24.807,45.20,15.228,67.751,0.816240945,2.968019438,1.326194216,3.936170213,1.775175961,1.838121934,1.057362841,1.035459005,0.595638328,0.575240859,Epps
33,73.726,28.063,34.752,20,18.1,29.981,57.56,16.2,80.538,0.807521869,3.553209877,1.280810257,4.550987654,1.7376,1.92,1.159134118,1.104972376,0.667089156,0.603715687,Epps
34,72.301,18.081,23.009,15.811,16.284,23.146,59.96,11.504,101.004,0.785822939,5.212273992,1.205780328,6.284857441,1.455252672,1.412982068,0.994081051,0.970953083,0.683098592,0.703534088,Epps
35,57.078,19.977,25.703,15.696,14.27,23.351,45.67,12.449,78.311,0.777224449,3.668728412,1.249737257,4.584946582,1.637550968,1.80119131,1.100723738,1.099929923,0.67217678,0.611108732,Epps
36,82.845,24.566,31.248,14.161,15.426,21.248,67.03,17.901,89.712,0.786162314,3.744260097,1.236012891,4.627953746,2.206623826,2.025670945,1.47063253,0.917995592,0.666462726,0.725997741,Epps
37,53.328,18.336,28.725,12.496,14.993,20.505,35.82,16.236,108.733,0.638328982,2.206454792,1.488610987,3.284552846,2.298735595,1.915894084,1.400877835,0.833455613,0.609412338,0.731187515,Epps
38,99.632,31.116,46.212,17.608,12.805,7.798,81.19,17.78,136.211,0.673331602,4.566422947,1.227131086,5.60359955,2.624488869,3.608902772,5.926134906,1.375087856,2.258014876,1.642087715,Gary
